word,similarity,expression
기대,0.941539168,좋다
별로,0.936538517,좋다
개인적,0.930226386,좋다
엄청,0.922317564,좋다
생각,0.913995743,좋다
잘나,0.911386013,좋다
ㅎㅎ,0.909047961,좋다
비슷,0.908100128,좋다
제일,0.905907154,좋다
솔직,0.904520512,좋다
마음,0.904092848,좋다
만족,0.903810382,좋다
나쁘다,0.902176261,좋다
끌리다,0.90004164,좋다
아쉽다,0.8964203,좋다
사실,0.896066546,좋다
차이,0.895186543,좋다
방수,0.893103063,좋다
나르,0.892350137,좋다
이쁘다,0.889089346,좋다
나올,0.888509631,좋다
셀카,0.88787365,좋다
싫다,0.887555122,좋다
괜찮다,0.887500763,좋다
확실,0.882368803,좋다
스펙,0.882113814,좋다
중요시,0.882033706,좋다
최고,0.880758882,좋다
망하다,0.878400564,좋다
저조,0.877238512,좋다
하시,0.98650527,힘들다
다들,0.983828425,힘들다
저도,0.983297408,힘들다
일주일,0.979951203,힘들다
구하,0.97963196,힘들다
가야,0.979482174,힘들다
평균인,0.978847504,힘들다
무릎,0.976879478,힘들다
얼른,0.976869702,힘들다
날씨,0.976675391,힘들다
지르,0.97640717,힘들다
타실,0.976148844,힘들다
눈팅,0.976113617,힘들다
티탄,0.975947201,힘들다
있을까,0.975732505,힘들다
기다리다,0.975516915,힘들다
참고,0.974651814,힘들다
지인,0.974593163,힘들다
만한,0.974498749,힘들다
타려,0.974438548,힘들다
저녁,0.97425735,힘들다
샀다,0.97415185,힘들다
하,0.973975182,힘들다
늦다,0.973944008,힘들다
사러가,0.973677933,힘들다
고싶,0.973412514,힘들다
사기,0.973307848,힘들다
어떤걸,0.97327733,힘들다
오랜만,0.973246872,힘들다
이득,0.973115027,힘들다
어두,0.984391391,어둡다
ips,0.977998078,어둡다
크기,0.977518797,어둡다
느끼,0.973157227,어둡다
디스플레이,0.972826242,어둡다
터치,0.970513105,어둡다
지문,0.969568372,어둡다
qhd,0.967637539,어둡다
색감,0.96663928,어둡다
매우,0.965211749,어둡다
수준,0.964971364,어둡다
베젤,0.964797139,어둡다
해상도,0.964160919,어둡다
단점,0.964063525,어둡다
실제,0.960042596,어둡다
불편,0.95971489,어둡다
웨이즈,0.959578633,어둡다
속도,0.958633304,어둡다
전체적,0.956589818,어둡다
선명,0.956588626,어둡다
노크,0.956335902,어둡다
인식률,0.954685807,어둡다
편하다,0.954680324,어둡다
밝기,0.954621375,어둡다
하얗,0.954211593,어둡다
자동,0.95324719,어둡다
가볍다,0.953005433,어둡다
발열,0.951833248,어둡다
이건,0.951570451,어둡다
번인,0.951348901,어둡다
그만큼,0.998335302,잘되다
유난,0.99687016,잘되다
나타나,0.996690691,잘되다
구분,0.996557117,잘되다
위아래,0.996547341,잘되다
키보드,0.996510506,잘되다
인치,0.996504426,잘되다
이부,0.996369421,잘되다
소재,0.996343851,잘되다
편한,0.996250033,잘되다
모습,0.996222019,잘되다
시계,0.996155739,잘되다
점이,0.996147037,잘되다
촉감,0.996129692,잘되다
잡기,0.996037662,잘되다
시선,0.995977044,잘되다
불편함,0.995916605,잘되다
사용성,0.995807409,잘되다
휴대,0.99580729,잘되다
깨끗,0.995722651,잘되다
익숙,0.995686054,잘되다
